ID,Name,Group,Prefixes,Tenant,Status,Role,Description,Tags,Site
137,jim-Tnet,,&mdash;,,Active,&mdash;,,,
150,v150,,&mdash;,,Active,&mdash;,"gsic,nyukan-o",,
151,v151,,&mdash;,,Active,&mdash;,"gsic,nyukan-s",,
152,v152,,&mdash;,,Active,&mdash;,nap1,,
153,v153,,&mdash;,,Active,&mdash;,nap2,,
161,noc-event-nat-S1,,&mdash;,,Active,&mdash;,,,
162,noc-event-nat-S2,,&mdash;,,Active,&mdash;,,,
163,noc-event-nat-S3,,&mdash;,,Active,&mdash;,,,
164,noc-event-nat-S4,,&mdash;,,Active,&mdash;,,,
169,noc-event-eduroam,,&mdash;,,Active,&mdash;,,,
171,noc-event-nat-M1,,&mdash;,,Active,&mdash;,,,
173,noc-event-nat-L1,,&mdash;,,Active,&mdash;,,,
241,v241,,&mdash;,,Active,&mdash;,"intrigger,kaken",,
254,v254,,&mdash;,,Active,&mdash;,opw_mon_suzukake,,
301,noc-mgmt-core-o,,&mdash;,,Active,&mdash;,,,
302,noc-mgmt-core-s,,&mdash;,,Active,&mdash;,,,
304,noc-mgmt-core-v,,&mdash;,,Active,&mdash;,,,
306,noc-mgmt-ext-o,,&mdash;,,Active,&mdash;,,,
307,noc-mgmt-ext-s,,&mdash;,,Active,&mdash;,,,
311,noc-mgmt-wlan-o,,&mdash;,,Active,&mdash;,,,
312,noc-mgmt-wlan-s,,&mdash;,,Active,&mdash;,,,
320,noc-srx3k-control,,&mdash;,,Active,&mdash;,,,
321,noc-srx3k-fabric,,&mdash;,,Active,&mdash;,,,
328,noc-daikou-in,,&mdash;,,Active,&mdash;,,,
329,noc-daikou-out,,&mdash;,,Active,&mdash;,,,
330,noc-event-o5,,&mdash;,,Active,&mdash;,,,
331,noc-event-o1,,&mdash;,,Active,&mdash;,,,
332,noc-event-o2,,&mdash;,,Active,&mdash;,,,
333,noc-event-o3,,&mdash;,,Active,&mdash;,,,
334,noc-event-o4,,&mdash;,,Active,&mdash;,,,
335,noc-event-s1,,&mdash;,,Active,&mdash;,,,
336,noc-event-s2,,&mdash;,,Active,&mdash;,,,
337,noc-event-s3,,&mdash;,,Active,&mdash;,,,
338,noc-event-s4,,&mdash;,,Active,&mdash;,,,
341,wi2-1,,&mdash;,,Active,&mdash;,,,
342,wi2-2,,&mdash;,,Active,&mdash;,,,
343,wi2-3,,&mdash;,,Active,&mdash;,,,
351,noc-dns-o-farm,,&mdash;,,Active,&mdash;,noc-dns-o-farm,,
352,noc-proxy-o-serv,,&mdash;,,Active,&mdash;,noc-proxy-o-serv,,
353,noc-proxy-o-farm,,&mdash;,,Active,&mdash;,noc-proxy-o-farm,,
356,noc-serv-s-farm,,&mdash;,,Active,&mdash;,,,
357,pubnet-nat-test,,&mdash;,,Active,&mdash;,,,
360,noc-wlan-o1,,&mdash;,,Active,&mdash;,,,
361,noc-wlan-o2,,&mdash;,,Active,&mdash;,,,
362,noc-wlan-s1,,&mdash;,,Active,&mdash;,,,
370,event-nat-test,,&mdash;,,Active,&mdash;,,,
371,noc-mgmt-sgw-domain,,&mdash;,,Active,&mdash;,,,
373,jimu-cp-sync2,,&mdash;,,Active,&mdash;,,,
374,noc-mgmt-bmf,,&mdash;,,Active,&mdash;,,,
389,v389,,&mdash;,,Active,&mdash;,test-noc-s2,,
390,noc-test-o,,&mdash;,,Active,&mdash;,,,
391,noc-mgmt-inter-os,,&mdash;,,Active,&mdash;,,,
468,v468,,&mdash;,,Active,&mdash;,sisetu_seibi,,
469,v469,,&mdash;,,Active,&mdash;,jim,,
470,v470,,&mdash;,,Active,&mdash;,infosyenergy,,
471,v471,,&mdash;,,Active,&mdash;,infosyenergy,,
472,v472,,&mdash;,,Active,&mdash;,OFC,,
473,v473,,&mdash;,,Active,&mdash;,ofc,,
474,v474,,&mdash;,,Active,&mdash;,sisetu_kikaku,,
475,v475,,&mdash;,,Active,&mdash;,gsic-vdi,,
476,v476,,&mdash;,,Active,&mdash;,gsic-vdi,,
477,v477,,&mdash;,,Active,&mdash;,ee,,
479,v479,,&mdash;,,Active,&mdash;,oil,,
480,v480,,&mdash;,,Active,&mdash;,senryaku,,
481,v481,,&mdash;,,Active,&mdash;,wise-sss,,
482,v482,,&mdash;,,Active,&mdash;,PEECs,,
484,v484,,&mdash;,,Active,&mdash;,tac-mi,,
485,v485,,&mdash;,,Active,&mdash;,somuka,,
486,v486,,&mdash;,,Active,&mdash;,somuka,,
487,v487,,&mdash;,,Active,&mdash;,tac-mi,,
488,v488,,&mdash;,,Active,&mdash;,iir,,
489,v489,,&mdash;,,Active,&mdash;,ksbs,,
490,v490,,&mdash;,,Active,&mdash;,ken-jim2,,
491,v491,,&mdash;,,Active,&mdash;,"gsic,cc",,
492,v492,,&mdash;,,Active,&mdash;,"gsic,cc",,
493,v493,,&mdash;,,Active,&mdash;,"gsic,cc",,
494,v494,,&mdash;,,Active,&mdash;,"gsic,cc",,
495,v495,,&mdash;,,Active,&mdash;,koho.495,,
496,v496,,&mdash;,,Active,&mdash;,eval.496,,
498,v498,,&mdash;,,Active,&mdash;,sangaku,,
499,v499,,&mdash;,,Active,&mdash;,sangaku.499,,
500,v500,,&mdash;,,Active,&mdash;,ofc,,
501,v501,,&mdash;,,Active,&mdash;,total.501,,
502,v502,,&mdash;,,Active,&mdash;,iir.502,,
503,v503,,&mdash;,,Active,&mdash;,iir.503,,
504,v504,,&mdash;,,Active,&mdash;,"gsic,cc",,
